zipcode,latitude,longitude
00501,40.81637627007854,-73.04079621267256
00501,40.81745526752143,-73.04420233634006
00501,40.81387309598677,-73.04218211773868
00501,40.81415174422525,-73.03726453998436
00501,40.824673255210016,-73.0474311696235
00501,40.82123450076165,-73.04452210160494
00501,40.816760891221875,-73.03658806723415
00501,40.80682072116395,-73.05335741400597
00501,40.8058043679488,-73.03844760308904
00501,40.82096313501899,-73.03769975703507
00501,40.824972366844655,-73.03911682871568
00501,40.81462958724506,-73.03948941647428
00501,40.807765488517376,-73.04230157957346
00501,40.808267065748176,-73.03620662165902
00501,40.815836966435,-73.04680676120019
00501,40.81069111224209,-73.03961532621132
00501,40.81452300664433,-73.04373132102263
00501,40.805775796008724,-73.04274729005849
00501,40.81764191445445,-73.04276132006251
00501,40.82427496157029,-73.04146359401794
00501,40.812590158011474,-73.04635936092401
00501,40.81935262391854,-73.05389549056741
00501,40.81873533430891,-73.04168724260764
00501,40.80960765122148,-73.05252147404691
00501,40.81170856701848,-73.04782578458115
00501,40.81680393540835,-73.04632796973075
00501,40.82516747676118,-73.05305910378505
00501,40.809577535121896,-73.0518738096423
00501,40.818462166509306,-73.0500341679492
00501,40.81472621545712,-73.05021148815997
00501,40.80857939167291,-73.05289249717671
00501,40.8185265917893,-73.05233634097303
00501,40.8093316472336,-73.04772549658679
00501,40.821819864596954,-73.05315797448415
00501,40.82215889814997,-73.05317803184212
00501,40.82492918930026,-73.04572697596706
00501,40.8249352217638,-73.04300308960511
00501,40.82018527158796,-73.05431624415492
00501,40.81105613925153,-73.05269606877575
00501,40.81132280395044,-73.05272544562092
00501,40.81175966358788,-73.04681474010971
00501,40.80668294992697,-73.0412505576126
00501,40.81673202908413,-73.04979221018121
00501,40.81586496106933,-73.05322118978484
00501,40.81691892991112,-73.03651407604848
00501,40.81177137904902,-73.04175179240073
00501,40.80803595724809,-73.04077345591763
00501,40.81118812185894,-73.05143617275986
00501,40.817130258696196,-73.05469784907625
00501,40.82197880058435,-73.05500609047616
00501,40.81895633073592,-73.04969984053616
00501,40.820103880442446,-73.03585622909766
00501,40.8103750628704,-73.04357685331165
00501,40.81724083862543,-73.04365496188419
00501,40.80986163265281,-73.03604501976966
00501,40.81434250757235,-73.03817182655058
00501,40.81938958550635,-73.0491512609829
00501,40.821675956394046,-73.04716988518307
00501,40.82302206394222,-73.04347454254729
00501,40.82303470723709,-73.04124936819845
00501,40.81990508559639,-73.04507351236147
00501,40.82452167269446,-73.0422201960154
00501,40.81387710097116,-73.04297213571745
00501,40.805783863966184,-73.04906850366652
00501,40.81860347074985,-73.04929844785579
00501,40.81776030857997,-73.04652462598109
00501,40.80810948128445,-73.04913435348088
00501,40.81679929821402,-73.04328254477504
00501,40.816886504976985,-73.04203598360286
00501,40.81844206540003,-73.04647163129133
00501,40.82333093191702,-73.04774876259904
00501,40.81411729850531,-73.03726153289969
00501,40.82152387978092,-73.0410222283292
00501,40.807404537746244,-73.0367103477251
00501,40.819684825990976,-73.03512305986865
00501,40.808388966093155,-73.03773747885263
00501,40.80864985869353,-73.04278880871433
00501,40.80787639965698,-73.03813983541356
00501,40.8215463791745,-73.04371798522772
00501,40.813543665944515,-73.0537166600909
00501,40.81934857546289,-73.04602914634644
00501,40.819841111989405,-73.03777235348143
00501,40.824910430100054,-73.03798393315215
00501,40.805634281683695,-73.04790043871044
00501,40.81999981124848,-73.05166740645478
00501,40.81582073212408,-73.05401324023322
00501,40.809399930497925,-73.05472956411079
00501,40.821273954067145,-73.0506215062388
00501,40.81230703361393,-73.0365383741307
00501,40.819488288038464,-73.05446322140938
00501,40.808693883129955,-73.04267043197001
00501,40.81694457177208,-73.05034214357252
00501,40.82408427995849,-73.04282068088068
00501,40.8161126560605,-73.04330180047292
00501,40.82000244059033,-73.04886110009042
00501,40.813364421244316,-73.0509031250205
00501,40.8091238601176,-73.03621255220033
00501,40.82019101590098,-73.04529082382766
00501,40.80994829255946,-73.0500128703646
00501,40.806560583206476,-73.04641166748884
00544,40.811635917639876,-73.0411731302237
00544,40.812955036785844,-73.0515079264488
00544,40.805893574567826,-73.05375500737074
00544,40.81898785546997,-73.04602606310888
00544,40.81613158422217,-73.03716657413919
00544,40.82520677894793,-73.05076206031204
00544,40.818661564062,-73.04983355246526
00544,40.80581301998931,-73.03993242692329
00544,40.81180034301644,-73.04743072211657
00544,40.81716634227107,-73.03847903089527
00544,40.81797963687182,-73.03764698689106
00544,40.81087084069631,-73.03913906332176
00544,40.80911271888612,-73.03604416686056
00544,40.819149765527754,-73.05078984645773
00544,40.824347411809775,-73.0404828838646
00544,40.8104788328519,-73.05083376045266
00544,40.815764014278614,-73.05458674563891
00544,40.80954940150882,-73.04660629062498
00544,40.81288339960668,-73.04582849151271
00544,40.81095257412589,-73.04336431307084
00544,40.82267711211846,-73.05274936288076
00544,40.81574758214308,-73.0524586378731
00544,40.81973719362385,-73.04717880594386
00544,40.81670842623717,-73.05143440327572
00544,40.80829695518686,-73.04533887438703
00544,40.812512254756996,-73.03629136109495
00544,40.82070650507614,-73.040126727603
00544,40.823474394794914,-73.05343155129117
00544,40.816443849398446,-73.04341047862088
00544,40.82463872757094,-73.04925704946416
00544,40.810216575598304,-73.0530941211547
00544,40.80572859259183,-73.03650941366416
00544,40.81879833093181,-73.03939694175955
00544,40.81103460211508,-73.04337179667628
00544,40.80667910532242,-73.04538744808131
00544,40.824949902794884,-73.03756989509367
00544,40.81216317903673,-73.03586859690917
00544,40.81003403252942,-73.03611362355169
00544,40.82422755409413,-73.03911594825296
00544,40.81800895873733,-73.03761424066751
00544,40.811260405690156,-73.03812112889375
00544,40.817757533838346,-73.05483526284483
00544,40.81234467035864,-73.05213718278104
00544,40.82503658779636,-73.0455325938592
00544,40.81534782730997,-73.04231054967202
00544,40.81277169212259,-73.0523619945663
00544,40.82184235466388,-73.05130304176195
00544,40.81562637965093,-73.0506136594205
00544,40.80735688968988,-73.03785616965158
00544,40.82485838978046,-73.03588330683874
00544,40.82353110998442,-73.03961905334603
00544,40.81206290304057,-73.05347797220024
00544,40.81354482342827,-73.05045531715659
00544,40.808049752695155,-73.05403145636427
00544,40.819911887284206,-73.0548714508275
00544,40.820811614970054,-73.052161067092
00544,40.806990441651735,-73.05330793931523
00544,40.81884095614708,-73.05019265580295
00544,40.8138107893336,-73.04395262417353
00544,40.822611023476576,-73.04055911474578
00544,40.81080655810477,-73.05247034401418
